,gene,error,N,n_aneup,cna,subtype_levels,tumor0_lfc_median,tumor0_lfc_q025,tumor0_lfc_q975,p_up_tumor,lfsr_tumor,p_rope_tumor,delta_scaling_median,delta_scaling_q025,delta_scaling_q975,p_up_scaling,lfsr_scaling,delta_dev_median,delta_dev_q025,delta_dev_q975,p_up_dev,lfsr_dev,phi_median,phi_q025,phi_q975,b0_s1_median,b0_s1_q025,b0_s1_q975,b_scaling_s1_median,b_scaling_s1_q025,b_scaling_s1_q975,b_deviation_s1_median,b_deviation_s1_q025,b_deviation_s1_q975,lp_2to1_s1_median,lp_2to1_s1_q025,lp_2to1_s1_q975,fracCN_2to1_s1_median,fracCN_2to1_s1_q025,fracCN_2to1_s1_q975,p_fracCN_2to1_pos_s1,p_fracCN_2to1_rope_s1,p_fracCN_2to1_neg_s1,lp_2to3_s1_median,lp_2to3_s1_q025,lp_2to3_s1_q975,fracCN_2to3_s1_median,fracCN_2to3_s1_q025,fracCN_2to3_s1_q975,p_fracCN_2to3_pos_s1,p_fracCN_2to3_rope_s1,p_fracCN_2to3_neg_s1,lp_2to4_s1_median,lp_2to4_s1_q025,lp_2to4_s1_q975,fracCN_2to4_s1_median,fracCN_2to4_s1_q025,fracCN_2to4_s1_q975,p_fracCN_2to4_pos_s1,p_fracCN_2to4_rope_s1,p_fracCN_2to4_neg_s1,lp_scaling_2to1_s1_median,lp_scaling_2to1_s1_q025,lp_scaling_2to1_s1_q975,lp_dev_2to1_s1_median,lp_dev_2to1_s1_q025,lp_dev_2to1_s1_q975,lp_scaling_2to3_s1_median,lp_scaling_2to3_s1_q025,lp_scaling_2to3_s1_q975,lp_dev_2to3_s1_median,lp_dev_2to3_s1_q025,lp_dev_2to3_s1_q975,lp_scaling_2to4_s1_median,lp_scaling_2to4_s1_q025,lp_scaling_2to4_s1_q975,lp_dev_2to4_s1_median,lp_dev_2to4_s1_q025,lp_dev_2to4_s1_q975,b0_s2_median,b0_s2_q025,b0_s2_q975,b_scaling_s2_median,b_scaling_s2_q025,b_scaling_s2_q975,b_deviation_s2_median,b_deviation_s2_q025,b_deviation_s2_q975,lp_2to1_s2_median,lp_2to1_s2_q025,lp_2to1_s2_q975,fracCN_2to1_s2_median,fracCN_2to1_s2_q025,fracCN_2to1_s2_q975,p_fracCN_2to1_pos_s2,p_fracCN_2to1_rope_s2,p_fracCN_2to1_neg_s2,lp_2to3_s2_median,lp_2to3_s2_q025,lp_2to3_s2_q975,fracCN_2to3_s2_median,fracCN_2to3_s2_q025,fracCN_2to3_s2_q975,p_fracCN_2to3_pos_s2,p_fracCN_2to3_rope_s2,p_fracCN_2to3_neg_s2,lp_2to4_s2_median,lp_2to4_s2_q025,lp_2to4_s2_q975,fracCN_2to4_s2_median,fracCN_2to4_s2_q025,fracCN_2to4_s2_q975,p_fracCN_2to4_pos_s2,p_fracCN_2to4_rope_s2,p_fracCN_2to4_neg_s2,lp_scaling_2to1_s2_median,lp_scaling_2to1_s2_q025,lp_scaling_2to1_s2_q975,lp_dev_2to1_s2_median,lp_dev_2to1_s2_q025,lp_dev_2to1_s2_q975,lp_scaling_2to3_s2_median,lp_scaling_2to3_s2_q025,lp_scaling_2to3_s2_q975,lp_dev_2to3_s2_median,lp_dev_2to3_s2_q025,lp_dev_2to3_s2_q975,lp_scaling_2to4_s2_median,lp_scaling_2to4_s2_q025,lp_scaling_2to4_s2_q975,lp_dev_2to4_s2_median,lp_dev_2to4_s2_q025,lp_dev_2to4_s2_q975,Rhat_phi,ess_phi,max_Rhat_core,min_ESS_core,n_divergent,max_treedepth,n_max_treedepth,fit_flag
0,ACVR1B,,986,39,all,"['MSI', 'MSS']",0.9684665159536704,0.8267739652883704,1.1061747201807886,1.0,0.0,0.0,-0.026666303,-0.66819569475,0.6670126685000001,0.469,0.469,-0.129619965,-0.5983390504999999,0.336470891,0.2965,0.2965,11.0915605,10.167596925,12.11303945,7.59258125,7.486173105000001,7.7024873425,1.50621795,0.63002400675,2.4059190449999996,0.12522272,-0.5501143460000001,0.7961002945000002,-1.10395735,-1.540295305,-0.6670162229999999,-0.6684435988414559,-0.7856821965035048,-0.4867623134713942,0.0,0.0,1.0,0.673177005,0.40722737725,0.92821488525,0.9604558182280504,0.5026457352796174,1.5299888248920757,1.0,0.0,0.0,1.16910175,0.6777624385000001,1.6524339050000003,2.2190999097740907,0.969466112651768,4.219670592698352,1.0,0.0,0.0,-1.04403075,-1.667655985,-0.4366993694999997,-0.0626113605,-0.39805014725,0.275057168,0.610718835,0.255452755,0.97551623675,0.0626113605,-0.275057168,0.3980501472500001,1.04403075,0.4366993695,1.667655985,0.12522272,-0.5501143460000001,0.7961002945000002,8.2652049,8.21453252,8.31550913,1.49156515,0.7405701072499999,2.27415981,0.0001457879785,-0.6764272825000001,0.6637171195000001,-1.02654735,-1.3017111325,-0.75793110375,-0.6417582880800663,-0.7279341439389374,-0.5313650171578013,0.0,0.0,1.0,0.60007146,0.46663691525,0.7387944115,0.822249013653018,0.594622315281035,1.0934102084827035,1.0,0.0,0.0,1.0244705,0.7451595980000001,1.309839605,1.78562008478584,1.1067776637135838,2.705579308184537,1.0,0.0,0.0,-1.0338742,-1.57632745,-0.5133240824999998,-7.28939885e-05,-0.33185855475,0.3382136362500001,0.604777635,0.30027533325,0.92209244675,7.28939885e-05,-0.33821363625,0.3318585547500001,1.0338742,0.5133240825000001,1.57632745,0.0001457879785,-0.6764272825000001,0.6637171195000001,1.00066,4875.94,1.00287,3044.58,0,7,0,ok
1,ACVR2A,,986,18,all,"['MSI', 'MSS']",0.131804117599089,-0.000210109766489,0.2649018269852435,0.97475,0.0252499999999999,0.9735,0.10073974,-0.6605837699999999,0.8354144030000001,0.6025,0.3974999999999999,0.074633208,-0.45099596775,0.59609563275,0.6055,0.3944999999999999,10.045797,9.184677135,10.941642675,6.4388122,6.33833943,6.533094855,0.59653908,-0.36287625825,1.5278006125,0.264887195,-0.468258356,1.0353957275,-0.5473859249999999,-1.143684425,0.018023872675,-0.42154002527567,-0.6813571550700414,0.0181872944925768,0.015,0.049,0.936,0.379650365,-0.0205789235999999,0.775188702,0.4617734163206646,-0.0203686038065033,1.1710017705259306,0.92125,0.071,0.00775,0.694282775,-0.0520238428499999,1.4096863300000009,1.0022724789915518,-0.0506937471522496,3.094672240506461,0.94425,0.039,0.01675,-0.41348938,-1.058990665,0.2515266622500001,-0.132443595,-0.517697854,0.23412917325,0.241875785,-0.1471336634999999,0.61946982425,0.132443595,-0.23412917325,0.517697854,0.41348938,-0.25152666225,1.058990665,0.264887195,-0.468258356,1.0353957275,6.52897715,6.470374,6.5893475375,0.6900376850000001,-0.0500842376499999,1.4138792525,0.342053445,-0.3872368117499999,1.1059750200000005,-0.65554495,-0.948161582,-0.3624192105,-0.4808409301437729,-0.612547329061731,-0.3040094597419741,0.0,0.0,1.0,0.457158895,0.2351487735,0.672543832,0.5795798517407094,0.2650969679246948,0.9592149034477208,0.99925,0.00075,0.0,0.83050414,0.38523562125,1.2707246275,1.2944752060359002,0.469960644783613,2.5634338489347592,0.9995,0.0005,0.0,-0.47829767,-0.98002641525,0.034715748675,-0.17102672,-0.55298751925,0.193618406,0.2797862,-0.0203074106749999,0.5732787055,0.17102672,-0.193618406,0.55298751925,0.47829767,-0.0347157486749999,0.98002641525,0.342053445,-0.3872368117499999,1.1059750200000005,1.00151,4979.91,1.00284,3100.91,0,7,0,ok
2,AKT1,,986,95,all,"['MSI', 'MSS']",-0.3980868533247053,-0.4739758268000159,-0.3187408856969201,0.0,0.0,0.00025,-0.064565218,-0.70770867175,0.5832329677500001,0.4185,0.4185,0.0752627855,-0.4152303,0.58161604475,0.61825,0.38175,25.2424085,23.04320115,27.58069745,8.516024,8.460133740000002,8.5710196225,0.5330282049999999,-0.2128042652499999,1.2943107050000004,0.679095235,0.04116151885,1.3202028025000003,-0.7074819999999999,-1.0850247125,-0.30400401825,-0.5071162680890059,-0.662106561788093,-0.262142098237182,0.0,0.00175,0.99825,0.554335945,0.3059355555,0.8012069785,0.7407846245449816,0.3578948000544626,1.228228731693234,0.99975,0.00025,0.0,1.0432831500000002,0.5773171265,1.5144400475000002,1.8385210291240728,0.7812532697116801,3.546874478257431,0.99975,0.00025,0.0,-0.369466995,-0.89714779975,0.1475046720000002,-0.33954762,-0.66010142125,-0.0205807598999999,0.21612434,-0.0862847024999999,0.5247978175000002,0.33954762,0.0205807599,0.6601014212500003,0.369466995,-0.1475046719999999,0.8971477997500004,0.679095235,0.04116151885,1.3202028025000003,8.24009485,8.1982436025,8.280715800000001,0.46932704,-0.015662044125,0.96357571775,0.755018655,0.1185391145,1.37248687,-0.7002679549999999,-0.792853905,-0.61207950925,-0.503547740897871,-0.5474485879012139,-0.4577778594469237,0.0,0.0,1.0,0.56680882,0.42925069025,0.69813877575,0.7626331873057753,0.5361060793754864,1.010008150480496,1.0,0.0,0.0,1.0795423,0.75170231725,1.3889175575,1.943332131808064,1.1206068924415078,3.0105065599853664,1.0,0.0,0.0,-0.325312715,-0.66789978825,0.0108561017,-0.37750933,-0.6862434350000001,-0.0592695582499999,0.19029574,-0.0063504123649999,0.39069632725,0.37750933,0.05926955825,0.6862434350000001,0.325312715,-0.0108561016999999,0.6678997882500001,0.755018655,0.1185391145,1.37248687,0.999876,4871.14,1.00102,2919.69,0,7,0,ok
3,AMER1,,986,173,all,"['MSI', 'MSS']",0.868840640040542,0.7225336805026326,1.027364494831721,1.0,0.0,0.0,0.0905672325,-0.45997330875,0.6560877190000002,0.61775,0.38225,0.179674245,-0.29374097325,0.66949099325,0.76175,0.2382499999999999,9.62465665,8.8146049725,10.492454025,6.5104825,6.3884988325,6.621882745,0.039927791,-0.60590858275,0.6995736950000002,0.81612869,0.18067599075,1.4341877675,-0.4281605149999999,-0.77831173475,-0.09632569125,-0.3482932015508085,-0.5408194240885186,-0.0918318145236623,0.00125,0.029,0.96975,0.418094805,0.182030164,0.6603039759999999,0.5190646897864005,0.1996503804460449,0.9353805544165028,0.9955,0.0045,0.0,0.83546382,0.3803047515,1.303174615,1.305883317813226,0.4627302934772285,2.680963787721646,0.99875,0.00125,0.0,-0.0276758355,-0.484907532,0.4199838250000002,-0.40806434,-0.717093884,-0.0903379934249998,0.016189326,-0.2456747849999999,0.2836527260000001,0.40806434,0.090337993425,0.7170938840000001,0.0276758355,-0.419983825,0.4849075320000001,0.81612869,0.18067599075,1.4341877675,7.1129767,7.0505918825,7.1743718225,0.130786775,-0.4069628564999999,0.6677082752500002,0.98732528,0.53040833975,1.4530631325,-0.583987655,-0.75366910675,-0.42064384025,-0.4423298686927416,-0.5293634290691308,-0.343376077193825,0.0,0.0,1.0,0.54638999,0.47748297225,0.6170243055,0.7270072379601532,0.6120118131966202,0.8534046619248168,1.0,0.0,0.0,1.0784285,0.92187275275,1.236362835,1.940055628293479,1.5139940771317568,2.443067658449182,1.0,0.0,0.0,-0.0906544854999999,-0.46282010975,0.28208515925,-0.49366264,-0.7265315757499999,-0.2652041747499999,0.0530294745,-0.165009241,0.2707324085000001,0.49366264,0.2652041747499999,0.72653157575,0.0906544854999999,-0.28208515925,0.4628201097500001,0.98732528,0.53040833975,1.4530631325,1.00088,4750.93,1.00235,3262.13,0,7,0,ok
4,ANKRD40,,986,50,all,"['MSI', 'MSS']",0.1219184905747323,0.0295846047926419,0.2158581596323182,0.996,0.004,0.998,0.18970495,-0.55230390275,0.96279632425,0.6895,0.3105,0.0681610285,-0.44966157325,0.571782006,0.602,0.398,27.5684085,25.074506575,30.153997625,7.2025427,7.1319550524999995,7.27215077,0.833673395,0.00655116731,1.6648676050000002,0.14915678,-0.4130706425,0.7385329115,-0.655487395,-1.2340933725,-0.0757845905749999,-0.4808110481624298,-0.7089014358468749,-0.0729841262239763,0.007,0.025,0.968,0.413951285,0.017985633275,0.8063773402500001,0.5127834303110738,0.0181483513548671,1.239779314267779,0.945,0.05,0.005,0.7329441800000001,0.002874389025,1.4503786200000002,1.0811990460431686,0.0028785245078844,3.2647290966522164,0.9565,0.0315,0.012,-0.57785836,-1.1539983424999998,-0.0045409231799999,-0.0745783905,-0.3692664605,0.2065353260000001,0.338025475,0.002656269785,0.6750457405000001,0.0745783905,-0.206535326,0.3692664605,0.57785836,0.00454092318,1.1539983425,0.14915678,-0.4130706425,0.7385329115,7.28704535,7.2447165525,7.330706505,1.0299258999999998,0.60928147625,1.4439209300000002,0.21300242,-0.085322113025,0.543417711,-0.818614865,-0.978160394,-0.6617914145,-0.5589578652662193,-0.6239978409802355,-0.4840737316368348,0.0,0.0,1.0,0.5248108300000001,0.457566678,0.5923656469999999,0.690139094581552,0.580224108837751,0.8082610710313263,1.0,0.0,0.0,0.928641235,0.806574445,1.05522278,1.531067714037254,1.240220828172112,1.8726150456081616,1.0,0.0,0.0,-0.71389025,-1.0008496875,-0.422321739,-0.106501205,-0.2717088555,0.042661056025,0.41759903,0.24704237675,0.58545954775,0.106501205,-0.042661056025,0.2717088555,0.71389025,0.422321739,1.0008496875,0.21300242,-0.085322113025,0.543417711,0.999606,4151.13,1.00365,2659.27,0,7,0,ok
5,APC,,986,66,all,"['MSI', 'MSS']",-0.4949264090245138,-0.6077182004977804,-0.3853634952885728,0.0,0.0,0.0,-0.0187825719999999,-0.598174018,0.5471177862500001,0.474,0.474,-0.00797125635,-0.52340463275,0.5129639875,0.4905,0.4905,15.4914105,14.15463435,16.898243925,8.135645499999999,8.0608597675,8.211607540000001,1.0279793,0.29523227175,1.7698119650000006,0.31424728,-0.54497931625,1.1304137275,-0.869348655,-1.2673926974999998,-0.4879890189999999,-0.5807754795322675,-0.7184352097251957,-0.3861403785002629,0.0,0.0,1.0,0.57139491,0.263451809,0.8856838922500001,0.770735346425883,0.3014145781239288,1.4246420238731146,0.99875,0.00125,0.0,1.0212227500000002,0.40149194025,1.646400105,1.7765877618365988,0.4940521013410792,4.188268966343703,0.9975,0.0025,0.0,-0.71254097,-1.2267401925,-0.2046394124999999,-0.15712364,-0.5652068535,0.27248965825,0.416809745,0.11970638725,0.7175970142500002,0.15712364,-0.27248965825,0.5652068535000001,0.71254097,0.2046394125,1.2267401925000003,0.31424728,-0.54497931625,1.1304137275,7.7935052,7.73444853,7.8496976025,1.0046666,0.37556038875,1.6424864825,0.304729445,-0.53285855075,1.1154763275,-0.84870133,-1.02345491,-0.68683209775,-0.572029636477718,-0.6406487323684701,-0.4968324664245045,0.0,0.0,1.0,0.559008285,0.357418987,0.76219867725,0.7489371927280409,0.4296347432037917,1.1429827782336042,1.0,0.0,0.0,1.00089765,0.5472838875,1.45463365,1.7207229909022348,0.7285517190050917,3.2829141457208246,1.0,0.0,0.0,-0.6963818150000001,-1.1384848225,-0.2603186242499999,-0.1523647249999999,-0.5577381539999999,0.2664292752500001,0.40735725,0.1522766385,0.6659709455,0.1523647249999999,-0.26642927525,0.557738154,0.6963818150000001,0.26031862425,1.1384848225000002,0.304729445,-0.53285855075,1.1154763275,1.00331,4989.8,1.00182,2256.06,0,7,0,ok
6,AREG,,986,41,all,"['MSI', 'MSS']",1.8368330503364003,1.401393244094705,2.3241815161082897,1.0,0.0,0.0,0.167588165,-0.64545756125,0.9505029912500002,0.6595,0.3405,0.0619255789999999,-0.51232804575,0.6254907147500001,0.582,0.418,1.333523,1.2291505525000002,1.44284439,6.37245275,5.9762964475,6.699148145,0.938322475,-0.1188939565,1.977767495,0.3266464,-0.4445476352499999,1.1240135075,-0.81651801,-1.4938697825,-0.1292228989999999,-0.558032092941741,-0.7754977983312273,-0.1212219267867549,0.00325,0.0175,0.97925,0.5420057650000001,0.08353761745,1.0036405025,0.7194522229042533,0.0871261375855229,1.7281958396405994,0.97275,0.0255,0.00175,0.972707265,0.138046756,1.8352049350000004,1.6450957633383405,0.1480293214606506,5.266418905419088,0.98,0.014,0.006,-0.65039558,-1.370883945,0.082411011225,-0.1633232,-0.5620067735,0.2222738225000001,0.38045703,-0.0482073506249999,0.80191571125,0.1633232,-0.2222738224999999,0.5620067735,0.65039558,-0.082411011225,1.370883945,0.3266464,-0.4445476352499999,1.1240135075,7.6423969,7.50629464,7.7659215475,1.1090113499999998,0.2930633065,1.9373914175000004,0.386941755,-0.35138032375,1.14383422,-0.95601454,-1.3537548625,-0.57757814325,-0.6155780647258589,-0.7417313225969947,-0.4387439964132668,0.0,0.0,1.0,0.6362055449999999,0.38901685075,0.8944647220000002,0.8892984034187373,0.4755294149016817,1.4460262781919997,1.0,0.0,0.0,1.1437053,0.6651355507500001,1.651682555,2.1383754774278727,0.9447550824172942,4.215748239691662,1.0,0.0,0.0,-0.768708085,-1.3428973725,-0.2031360014999999,-0.193470875,-0.5719171007499999,0.175690157,0.4496654049999999,0.11882694025,0.7855446360000001,0.193470875,-0.175690157,0.57191710075,0.768708085,0.2031360015,1.3428973725000002,0.386941755,-0.35138032375,1.14383422,1.00075,4816.11,1.00277,3953.62,0,5,0,ok
7,ARHGAP5,,986,96,all,"['MSI', 'MSS']",-0.3872255020689472,-0.4933310386168802,-0.280987869838354,0.0,0.0,0.011,0.239259045,-0.4885548939999999,0.92677612825,0.733,0.267,0.165241295,-0.331686682,0.66727566075,0.74725,0.25275,11.255477,10.308699575,12.322322675,9.31527505,9.2452044325,9.3878527575,0.387480065,-0.35141527925,1.1560547125,0.30536504,-0.236144326,0.8650499572500003,-0.42669134,-0.93068328675,0.066443898925,-0.3473350254864445,-0.6057157736200458,0.0687010092766501,0.01875,0.08425,0.897,0.312394625,-0.0152885072999999,0.6545701737500003,0.3666939217787338,-0.015172216613165,0.9243153713747244,0.8975,0.0965,0.006,0.57526524,-0.0308849607749999,1.2137057775,0.7776019591793161,-0.0304128925913042,2.365934986391821,0.94025,0.048,0.01175,-0.268580715,-0.8013161005,0.24358251025,-0.15268252,-0.43252497875,0.118072163,0.15710965,-0.14248663725,0.46873986375,0.15268252,-0.118072163,0.4325249787500002,0.268580715,-0.24358251025,0.8013161005,0.30536504,-0.236144326,0.8650499572500003,9.047075,8.992210125,9.1009924425,0.6301854650000001,0.32714997925,0.91705207075,0.46773494,0.19009598175,0.7774149580000002,-0.672172035,-0.7786843600000001,-0.56565855,-0.4894016649472815,-0.5409904944830758,-0.4320140235763064,0.0,0.0,1.0,0.4905452449999999,0.42109973075,0.56374818275,0.6332064758087191,0.5236362314898915,0.7572466568763775,1.0,0.0,0.0,0.907067765,0.7654773832499999,1.064516235,1.477048585672652,1.1500205243461632,1.899435999465964,1.0,0.0,0.0,-0.43681128,-0.6356520615,-0.2267630804999999,-0.23386747,-0.388707479,-0.0950479918749999,0.25551822,0.132647896,0.37183262025,0.23386747,0.095047991875,0.3887074790000001,0.43681128,0.2267630805,0.6356520615,0.46773494,0.19009598175,0.7774149580000002,1.00041,4542.05,1.00188,2199.02,0,7,0,ok
8,ARID1A,,986,100,all,"['MSI', 'MSS']",-0.0439521076539462,-0.1314641984497249,0.0443254804487268,0.163,0.163,1.0,-0.067922751,-0.66923644925,0.5156245112500003,0.409,0.409,-0.023178176,-0.53767502375,0.4843453477500001,0.46125,0.46125,24.4245375,22.2765323,26.658085775,9.0019835,8.937692329999999,9.0661408675,0.7103769550000001,-0.0452402788249999,1.4849642575,0.203774625,-0.6058280835,1.0734347400000002,-0.59007921,-0.98849627475,-0.2005415452499998,-0.4457166217833107,-0.6278641393873264,-0.1817124604825807,0.00025,0.006,0.99375,0.39047717,0.0859785901,0.71246149025,0.477685757899057,0.0897830023516586,1.0390040775821991,0.96975,0.03,0.00025,0.701068195,0.090906037775,1.3324504325000004,1.0159049863711291,0.0951661081867185,2.790320265793821,0.9735,0.02075,0.00575,-0.492395785,-1.0292988175,0.031358171825,-0.10188731,-0.5367173792500001,0.30291404675,0.28803307,-0.018343354225,0.60210120225,0.10188731,-0.30291404675,0.5367173792500002,0.492395785,-0.031358171825,1.0292988175,0.203774625,-0.6058280835,1.0734347400000002,8.972321749999999,8.9299516575,9.0141262575,0.64265193,0.03357145855,1.2392598025,0.18635205,-0.62616032325,1.0284375250000004,-0.53550168,-0.6153342667499999,-0.4590678637499999,-0.4146244547355593,-0.4595397927609767,-0.3681276376364037,0.0,0.0,1.0,0.351797565,0.175526976,0.5387681710000001,0.4216207090847881,0.1918741405162726,0.713894337235239,0.99775,0.00225,0.0,0.628674385,0.2140981755,1.069093685,0.8751232422363613,0.2387442639064862,1.9127385092756897,0.9965,0.003,0.0005,-0.445452375,-0.85898945,-0.0232699624999998,-0.0931760265,-0.5142187722499999,0.31308015675,0.260572935,0.013612055475,0.50247661525,0.0931760265,-0.31308015675,0.5142187722500002,0.445452375,0.0232699625,0.85898945,0.18635205,-0.62616032325,1.0284375250000004,1.00143,4254.42,1.00264,2762.22,0,7,0,ok
9,ARID1B,,986,32,all,"['MSI', 'MSS']",0.3494380440303224,0.2689156884392459,0.4282739850578199,1.0,0.0,0.01775,-0.1190451949999999,-0.7271657414999999,0.4988365837500004,0.35375,0.35375,-0.0020287745,-0.4818453215,0.4771748287500001,0.496,0.496,32.560736500000004,29.8322105,35.4928078,8.49998415,8.440830125,8.55948016,0.5690875900000001,-0.1794698725,1.3577784725000002,0.45992984,-0.17557180325,1.0734325675000005,-0.62656567,-1.0332501225,-0.2399079189999999,-0.4655759579375206,-0.6441514722420405,-0.2132996997854299,0.0,0.0055,0.9945,0.461781455,0.217784725,0.709464885,0.58689845697678,0.2433193842654787,1.0329031342043908,0.9975,0.0025,0.0,0.85560053,0.39227993525,1.3186125,1.352786876688198,0.4803520595661409,2.7382310139249486,0.99875,0.00125,0.0,-0.39446146,-0.9411403435,0.12439903375,-0.22996492,-0.53671627375,0.0877859026,0.23074516,-0.0727687696,0.55053181225,0.22996492,-0.0877859026,0.5367162737500001,0.39446146,-0.12439903375,0.9411403435,0.45992984,-0.17557180325,1.0734325675000005,8.74216585,8.7080151775,8.7742394325,0.462705,-0.0352553650999999,0.9543346735,0.450540845,-0.1239226235,1.0173363125,-0.54390211,-0.6666114227500001,-0.419603008,-0.4195212645744864,-0.4865545169054797,-0.3426922860632004,0.0,0.0,1.0,0.41090884,0.2907806155,0.53063918925,0.5081878639065088,0.3374711316939461,0.700018595021167,1.0,0.0,0.0,0.76791371,0.4848289087499999,1.0437897075,1.1552650536941416,0.6238971505131063,1.839959262647853,1.0,0.0,0.0,-0.320722665,-0.66149438825,0.02443715665,-0.225270425,-0.5086681755,0.061961312725,0.187610735,-0.0142948204249999,0.38694941025,0.225270425,-0.061961312725,0.5086681755,0.320722665,-0.0244371566499999,0.6614943882500001,0.450540845,-0.1239226235,1.0173363125,1.00013,4513.19,1.00138,2907.98,0,7,0,ok
